dataset,series,detector,raw,detrended,ma100,detrended_ma100
ucr,017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100,knn,0.7433549879278437,0.7414483059254182,0.7645891088716351,0.7644624806199372
ucr,017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100,lof,0.7336592138217924,0.7314894356791235,0.7659988614425768,0.7643353646865793
ucr,017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100,ae,0.6948148886104981,0.6950624731027357,0.7378269391491152,0.737824330052943
ucr,017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100,iforest,0.004531353622883138,0.004531813304301727,0.003882452397010554,0.0038826516718663893
ucr,020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388,timesfm_resid,0.24559606658224542,0.24099667188415191,0.46881596849308993,0.44546090958676343
ucr,020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388,tirex_resid,0.2601006619179444,0.26246903682809175,0.44638130752477406,0.4366027379169777
ucr,020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388,chronos_base_resid,0.04820241925497505,0.0464990846710989,0.04790183093026811,0.043443474278607286
ucr,020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388,chronos_small_resid,0.0476222016763132,0.045561679821029655,0.04727759928490179,0.04300333726109087
ucr,020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388,knn,0.6774216225498659,0.6776906395001674,0.728976420762085,0.7288990247933298
ucr,020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388,lof,0.88941061997441,0.889992558666421,0.9168245159894399,0.9171268553603837
ucr,020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388,ae,0.640465905395381,0.6406757603213432,0.6998250352905964,0.699108813457433
ucr,020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388,iforest,0.20277153811200985,0.19832732533735675,0.3581794408772314,0.35809399112650897
ucr,023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716,timesfm_resid,0.10939074945247734,0.11010904055206171,0.33610997996019043,0.3157909088285999
ucr,023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716,tirex_resid,0.12092621865801431,0.12104341036910218,0.5748110800797885,0.4246309696982843
ucr,023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716,chronos_base_resid,0.033610349774199674,0.04183284072615269,0.05163949301849388,0.06082725658586315
ucr,023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716,chronos_small_resid,0.034584139363839354,0.04347226882663479,0.05811254423803452,0.06409204268652949
ucr,023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716,knn,0.9095719846258783,0.9043492753468434,0.9625194174352243,0.9593300378453679
ucr,023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716,lof,0.5644812885808843,0.5663070441248168,0.9299666271856373,0.9299329261897231
